"cell_type","algorithm","breakpoint","boundary_region"
"Excitatory","Hierarchical_k3_bp2",0.5,"MCI_stage"
"Excitatory","Kmeans_k3_bp1",0.2,"master_event"
"Excitatory","Kmeans_k3_bp2",0.7,"MCI_stage"
"Excitatory","Variance_jump",0.2,"master_event"
"Excitatory","Trajectory_inflection",0.25,"master_event"
"Inhibitory","Piecewise_PC1",0.257142857142857,"master_event"
"Inhibitory","CUSUM_PC1",0.15,"master_event"
"Inhibitory","DP_PC1",0.3,"MCI_stage"
"Inhibitory","Segmented_PC1",0.2501,"master_event"
"Inhibitory","Piecewise_PC2",0.557142857142857,"MCI_stage"
"Inhibitory","CUSUM_PC2",0.65,"MCI_stage"
"Inhibitory","DP_PC2",0.6,"MCI_stage"
"Inhibitory","Segmented_PC2",0.298412072433281,"master_event"
"Inhibitory","Piecewise_PC3",0.357142857142857,"MCI_stage"
"Inhibitory","CUSUM_PC3",0.35,"MCI_stage"
"Inhibitory","DP_PC3",0.4,"MCI_stage"
"Inhibitory","Segmented_PC3",0.449987003443521,"MCI_stage"
"Inhibitory","Mahalanobis_maxgap",0.2,"master_event"
"Inhibitory","Hierarchical_k3_bp1",0.2,"master_event"
"Inhibitory","Hierarchical_k3_bp2",0.5,"MCI_stage"
"Inhibitory","Kmeans_k3_bp1",0.2,"master_event"
"Inhibitory","Kmeans_k3_bp2",0.5,"MCI_stage"
"Inhibitory","Variance_jump",0.2,"master_event"
"Inhibitory","Trajectory_inflection",0.25,"master_event"
"Endothelial","Piecewise_PC1",0.257142857142857,"master_event"
"Endothelial","CUSUM_PC1",0.15,"master_event"
"Endothelial","DP_PC1",0.3,"MCI_stage"
"Endothelial","Segmented_PC1",0.2501,"master_event"
"Endothelial","Piecewise_PC2",0.557142857142857,"MCI_stage"
"Endothelial","CUSUM_PC2",0.45,"MCI_stage"
"Endothelial","DP_PC2",0.6,"MCI_stage"
"Endothelial","Segmented_PC2",0.8499,"MCI_stage"
"Endothelial","Piecewise_PC3",0.457142857142857,"MCI_stage"
"Endothelial","CUSUM_PC3",0.45,"MCI_stage"
"Endothelial","DP_PC3",0.5,"MCI_stage"
"Endothelial","Segmented_PC3",0.78758640735017,"MCI_stage"
"Endothelial","Mahalanobis_maxgap",0.2,"master_event"
"Endothelial","Hierarchical_k3_bp1",0.2,"master_event"
"Endothelial","Hierarchical_k3_bp2",0.5,"MCI_stage"
"Endothelial","Kmeans_k3_bp1",0.2,"master_event"
"Endothelial","Kmeans_k3_bp2",0.5,"MCI_stage"
"Endothelial","Variance_jump",0.2,"master_event"
"Endothelial","Trajectory_inflection",0.25,"master_event"
"VLMC","Piecewise_PC1",0.257142857142857,"master_event"
"VLMC","CUSUM_PC1",0.65,"MCI_stage"
"VLMC","DP_PC1",0.3,"MCI_stage"
"VLMC","Segmented_PC1",0.650022736157715,"MCI_stage"
"VLMC","Piecewise_PC2",0.457142857142857,"MCI_stage"
"VLMC","CUSUM_PC2",0.55,"MCI_stage"
"VLMC","DP_PC2",0.5,"MCI_stage"
"VLMC","Segmented_PC2",0.300454014256041,"MCI_stage"
"VLMC","Piecewise_PC3",0.457142857142857,"MCI_stage"
"VLMC","CUSUM_PC3",0.75,"MCI_stage"
"VLMC","DP_PC3",0.5,"MCI_stage"
"VLMC","Segmented_PC3",0.703819540212241,"MCI_stage"
"VLMC","Mahalanobis_maxgap",0.5,"MCI_stage"
"VLMC","Hierarchical_k3_bp1",0.2,"master_event"
"VLMC","Hierarchical_k3_bp2",0.5,"MCI_stage"
"VLMC","Kmeans_k3_bp1",0.2,"master_event"
"VLMC","Kmeans_k3_bp2",0.5,"MCI_stage"
"VLMC","Variance_jump",0.2,"master_event"
"VLMC","Trajectory_inflection",0.25,"master_event"
