"cps_bin","cps_center","n_cells","NDUFS1","PTGDS","LCN2","NGFR","APOE","PTGS2","IL6ST","NFKBIA","P2RY1","P2RY12","GJA1","ITPR2","HMOX1","SOD2","MT1E","MT2A","CLU","SLC1A2","FOS","JUN","EGR1","ATF3","TREM2","C3","CHI3L1","SERPINA3","GFAP","BCL2","BCL2L1","MCL1","BAX","CASP3","CASP9","AQP4","SLC22A17","SST","GPX4","FTH1","SLC7A11"
"CPS0.15",0.170086796640635,1511,-0.0510345244534148,0.04570967387394,-0.00831562501747721,0.406267620699568,0.218361157257398,0.0344056544441692,-0.175692138857836,-0.0132636508068946,-0.0112926132921383,0.235624454346072,-0.270555086113661,-0.00229588265996156,0.573237995000775,0.195550956596448,-0.00655082161888854,0.208928818871641,-0.165464438692111,-0.321635040394564,0.250651883496812,0.191704391840856,0.238191081773013,0.543649096061409,-0.031446805224997,0.111440623458251,0.302086023140464,0.00666735366184749,-0.274673655178881,-0.299533473657955,-0.139085616956285,-0.0250153339394298,0.0505215943113305,0.0297015449953915,0.0406065453779446,0.0179011657045937,0.0304749386548773,0.304786793947958,0.0965801795196096,0.268121514685487,-0.126957288603267
"CPS0.25",0.243572577713401,5492,0.0440224410525267,0.136703599172966,-0.00831562501747721,0.0177725999705711,0.0650332952127642,0.00271590348167104,-0.00767539259757416,-0.0814479746904947,0.0879351684227588,0.0748388837562876,-0.126310643764244,0.0263505884181284,-0.0310308854617897,0.112168987636906,-0.101460077454171,0.030579206246992,-0.0719255613392633,-0.0392340402151091,0.17479893196334,0.227171552646731,-0.0276811918441687,-0.0194852015127894,-0.00843510454137915,0.120150747945696,-0.209212981569371,0.210764729913288,0.201453390304886,0.0510229419291955,-0.0532302293404414,0.0865420498081518,-0.000227400166246414,0.00657296802558672,0.0788323480396322,0.142523149001335,-0.0242346073507296,0.0633683105604389,-0.00799541953063564,0.307226773456783,-0.192358207737454
"CPS0.35",0.330203677668463,8907,-0.0494027543120642,0.142455282715231,-0.00831562501747721,-0.0178978975896317,0.103958683155748,0.00278952039538869,-0.0511293570364524,-0.0668693031804733,0.0382270393242817,0.216726735701921,0.0153976823724962,-0.138116663868925,-0.0512610573893829,-0.166799390268928,0.3394897336727,0.463982330999506,0.0601809009874249,-0.0927129015833671,0.0102262712133331,0.0343014196062034,-0.0274144839518393,-0.0254388245337989,-0.00684203509349788,-0.0338972759041787,-0.0341417263607676,-0.202258727051698,-0.186554289448172,-0.025925375523562,-0.0607825380539067,-0.0472554089533538,0.0131680713727579,0.0231021115835378,-0.0192456004822075,0.0651212506530141,0.0495971618189388,0.00174508582757277,0.0518072596781186,0.391733698842459,-0.00151281092900782
"CPS0.45",0.445894447390569,2248,-0.0222493398409294,0.207616166770405,-0.00831562501747721,-0.0357941175383351,0.407150063174644,-0.0300842756072822,-0.00963928706707988,0.043482874309869,0.201856441155049,0.167912961755204,0.0214551945725714,-0.0791416899543121,-0.0586815468950097,-0.0846638116266298,0.189185062238196,0.250199259530933,0.140463112584472,0.0888088415627276,0.460479841104376,0.287819915530523,0.042038148094437,0.134449052940149,-0.000243629904444614,0.0375939266093799,-0.329080459926437,-0.284132569715624,0.0655356109547163,0.0688064978925779,-0.0436939481693102,0.0293543170255201,0.0146220887288128,0.166859004223578,0.0928514731450888,0.206574555558882,0.0565552554502982,0.00793281241563952,0.0130947928563125,0.262080177910138,0.0786447797198203
"CPS0.55",0.539863513777243,6653,-0.0247713580128398,0.305510689602215,0.00827841300708828,-0.0242164165194927,-0.0667770639957439,0.0120379394680875,0.087323485322998,-0.0831738635324495,-0.0407470202717373,-0.0146051782391465,-0.191233385277783,0.0926014245273773,-0.0489337647914444,0.132107013417787,-0.0581155051803349,-0.0173953144294699,-0.0559667399862271,0.135044621957086,0.102805438541067,0.101510858105191,0.0727923446050372,-0.0550042650778334,-0.00798996684616083,-0.0312870024553172,0.0494033391607181,0.267454734595823,0.406913573755481,0.0297120416933318,-0.117319899656439,0.0705432201349857,-0.0322942146465038,-0.0414102952114537,0.0317719468825333,0.00718525905198406,-0.045469291470158,0.0124140155275243,0.0260068831262981,0.0857367188634465,-0.346771467566795
"CPS0.65",0.654355222262311,6275,-0.0483932428542701,0.214589911433074,0.00484491340993147,-0.0335629900071746,0.422716562723624,-0.00225045015502759,0.00127119111269923,0.0301004417689025,0.0712005797874761,0.109367467622281,0.186561469252245,0.037812825023054,-0.0448196866023275,-0.136425341320931,0.191843033593828,0.225879958263349,0.0272826883398109,0.172141236645837,-0.0344936095969378,0.0207398363779867,-0.00376969850421873,-0.00606126083311832,0.00449175236885176,-0.0505437911113064,-0.219813694625355,-0.217009119950789,-0.406272014517861,-0.0851207145151585,0.00480146822919628,0.031298241157139,0.0268717331311403,0.0348325926346618,0.0460084508955742,0.03220727685133,0.0989509633294354,0.0182777787251156,0.0795844367926845,0.345956822410403,-0.149186929015061
"CPS0.75",0.750524142363018,14407,0.0685042776584225,-0.100000453235908,-0.00831562501747721,0.00624116163956877,-0.115043028238029,-0.00189941138528172,0.149958173477768,0.0209405619352642,0.0124653361535988,-0.0705232847833577,-0.0391529729026153,0.0455782212136732,0.0407014249838804,0.0424325065121929,-0.126173701683734,-0.224177774946012,-0.0816562532364121,0.0121654049152497,-0.188541226160275,-0.141674702271797,-0.0287387151420958,-0.0643543672919701,-0.000383199538791938,-0.0176854230016748,0.149880280333065,0.0195762434566615,-0.0196752201750337,0.016512435592158,0.00669547745267117,-0.00621873175432466,-0.01255816372362,0.0132945331199213,-0.00766927681066643,-0.000738750190780789,-0.0131663188217689,-0.0270320472843493,-0.0294930395292107,-0.0672276543582951,0.23871811082546
"CPS0.85",0.854027066350138,17019,0.00294495305534173,-0.199672614053755,0.0132866200876331,-0.00546183297577353,-0.109475566914082,0.00131719728868921,-0.0897170341312544,0.0575315445964679,-0.0430092823705837,-0.0989508497010458,0.103654310326014,-0.0428045793690784,-0.00169441617149883,0.0160714004099391,0.0130513400859211,-0.0297633394289826,0.0376238864488302,0.0497126014471423,-0.0839228768770573,-0.0944103119020316,-0.00700055665336139,-0.0195006355748873,0.0157053073875417,-0.0391032721452145,0.0909504405380235,-0.033206017540955,-0.069316095195191,-0.00514005576602313,0.078218421127545,-0.0529725544339228,0.0159326228253005,-0.0155678616224824,-0.0373799300339183,-0.0695636505764591,-0.0243493332957379,-0.0274098625708225,-0.0355828586530944,-0.273523497978718,0.0566914108378346
"CPS0.95",0.918885967399837,4907,-0.0495620688190714,-0.22327152919123,-0.00831562501747721,-0.019734591967754,-0.247815150193657,-0.0173504972019298,-0.089217586119816,0.00995810964788875,-0.180037733619274,-0.196441044751987,-0.0369441568687968,0.0989118076342539,-0.0118179992328812,-0.0291800257254386,-0.428676351638677,-0.559234815055199,0.108108448390981,-0.340808732220996,0.247015466407714,0.0718461185841245,0.00292357140498923,0.177891492844427,-0.0166017860038784,0.170117056058826,-0.187516055331874,0.231935680044417,0.433722698635122,0.0885795014979602,0.0947323976228192,0.0494879397568046,-0.0548698334875141,-0.108315478031407,-0.0580873823834459,-0.185359205973781,-0.0399777753060374,-0.0373491745498499,-0.0478564104106125,-0.670142565076466,-0.0154635231937981
