"bin","HMOX1","GFAP","FKBP5","n"
"<=20",0.300578354779415,0.363411670925858,0.401275386482663,14
"21-23",0.205187129556159,0.39910360327183,0.108355586143474,61
"24-26",0.134654749019967,0.158734563472346,-0.0678119675764245,180
"27-28",-0.0207061009478405,-0.0339206113040703,-0.0427405904267419,163
"29-30",-0.128027224927247,-0.18189358206298,0.023944220102655,290
